scope,metric,value
bihar,weighted_records,69943602.0
bihar,baseline_coverage,0.9742317817718338
bihar,single_token_share,0.02575706638614351
bihar,first_in_relative_share,0.025703094330200495
bihar,last_in_relative_share,0.35127417372642605
rajasthan,weighted_records,42680004.0
rajasthan,baseline_coverage,0.3285779214078799
rajasthan,single_token_share,0.6714111132698113
rajasthan,first_in_relative_share,0.0033597700693748763
rajasthan,last_in_relative_share,0.07535966960078073
maharashtra,weighted_records,83029252.0
maharashtra,baseline_coverage,0.9827104789526467
maharashtra,single_token_share,0.01727023868648124
maharashtra,first_in_relative_share,0.8920179480841283
maharashtra,last_in_relative_share,0.65078164259507
punjab,weighted_records,18748931.0
punjab,baseline_coverage,0.8888629437059639
punjab,single_token_share,0.11076391502000835
punjab,first_in_relative_share,0.006032717278654447
punjab,last_in_relative_share,0.3756638711828424
bihar_land:exact_name_and_relative,accepted_links,4387.0
bihar_land:exact_name_and_relative,upstream_exact_name_share,1.0
rajasthan_ration:T1,accepted_links,536536.0
rajasthan_ration:T1,upstream_exact_name_share,0.8802335723977515
rajasthan_ration:T2,accepted_links,467882.0
rajasthan_ration:T2,upstream_exact_name_share,0.24065255769617125
all_links,alignment_exact,850060.0
all_links,alignment_external_only,224293.0
all_links,alignment_roll_only,61827.0
all_links,alignment_substitute,424839.0
bihar_land:exact_name_and_relative,linked_resolution_written_share,0.9952131297013904
bihar_land:exact_name_and_relative,linked_resolution_segmented_share,0.0
bihar_land:exact_name_and_relative,linked_resolution_abstained_share,0.004786870298609528
rajasthan_ration:T1,linked_resolution_written_share,0.32608249958996227
rajasthan_ration:T1,linked_resolution_segmented_share,0.03841121565002162
rajasthan_ration:T1,linked_resolution_abstained_share,0.6355062847600161
rajasthan_ration:T2,linked_resolution_written_share,0.3010695004295955
rajasthan_ration:T2,linked_resolution_segmented_share,0.3750924378368905
rajasthan_ration:T2,linked_resolution_abstained_share,0.323838061733514
all_links,variant_mappings,8259.0
all_links,family_surname_candidates,0.0
